date,direction,callsign_icao,flight_iata,airline,origin_icao,destination_icao,scheduled_utc,actual_utc,opensky_firstseen_utc,opensky_lastseen_utc,delay_minutes,avs_delay_minutes,status,terminal,gate,icao24,data_quality_delta_min,quality_flags
2026-07-20,dep,THY74M,TK1365,Turkish Airlines,LTFM,LFML,2026-07-20T04:05:00+00:00,2026-07-20T04:27:00+00:00,2026-07-20T04:28:27+00:00,2026-07-20T07:18:58+00:00,22,,landed,,B7B,4bb201,1,fuzzy_callsign_match
2026-07-20,dep,THY1WN,TK1975,Turkish Airlines,LTFM,EIDW,2026-07-20T04:00:00+00:00,2026-07-20T04:27:00+00:00,2026-07-20T04:29:15+00:00,2026-07-20T08:36:16+00:00,27,2,landed,,B12B,4bb20a,2,fuzzy_callsign_match
2026-07-20,dep,THY5CS,TK1331,Turkish Airlines,LTFM,EDDW,2026-07-20T04:15:00+00:00,2026-07-20T04:29:00+00:00,2026-07-20T04:30:48+00:00,2026-07-20T07:19:53+00:00,14,,landed,,E3,4bab45,2,fuzzy_callsign_match
2026-07-20,dep,THY7DZ,TK1967,Turkish Airlines,LTFM,EGBB,2026-07-20T04:00:00+00:00,2026-07-20T04:30:00+00:00,2026-07-20T04:32:03+00:00,2026-07-20T08:09:46+00:00,30,5,landed,,F3A,4bb219,2,fuzzy_callsign_match
2026-07-20,dep,THY7WT,TK1821,Turkish Airlines,LTFM,LFPG,2026-07-20T04:15:00+00:00,2026-07-20T04:31:00+00:00,2026-07-20T04:33:01+00:00,2026-07-20T07:40:29+00:00,16,,landed,,F16,4bb0e1,2,fuzzy_callsign_match
2026-07-20,dep,THY8GY,TK1857,Turkish Airlines,LTFM,LEMD,2026-07-20T04:05:00+00:00,2026-07-20T04:32:00+00:00,2026-07-20T04:34:03+00:00,2026-07-20T08:27:29+00:00,27,3,landed,,B14,4ba9ec,2,fuzzy_callsign_match
2026-07-20,dep,THY9XN,TK1797,Turkish Airlines,LTFM,ESGG,2026-07-20T03:55:00+00:00,2026-07-20T04:33:00+00:00,2026-07-20T04:34:18+00:00,2026-07-20T07:25:55+00:00,38,2,landed,,B18B,4bb290,1,fuzzy_callsign_match
2026-07-20,dep,THY4ND,TK1881,Turkish Airlines,LTFM,LGTS,2026-07-20T04:25:00+00:00,2026-07-20T04:35:00+00:00,2026-07-20T04:37:25+00:00,2026-07-20T05:31:52+00:00,10,,landed,,F1A,4bb283,2,fuzzy_callsign_match
2026-07-20,dep,THY1QG,TK1951,Turkish Airlines,LTFM,EHAM,2026-07-20T04:15:00+00:00,2026-07-20T04:35:00+00:00,2026-07-20T04:37:29+00:00,2026-07-20T07:28:58+00:00,20,,landed,,A4D,4ba9e8,2,fuzzy_callsign_match
2026-07-20,dep,THY2HR,TK2310,Turkish Airlines,LTFM,LTBJ,2026-07-20T04:00:00+00:00,2026-07-20T04:36:00+00:00,2026-07-20T04:37:37+00:00,2026-07-20T05:18:44+00:00,36,11,landed,,G1G,4bab22,2,fuzzy_callsign_match
2026-07-20,dep,THY7JV,TK1813,Turkish Airlines,LTFM,LFMN,2026-07-20T04:10:00+00:00,2026-07-20T04:39:00+00:00,2026-07-20T04:41:39+00:00,2026-07-20T07:18:22+00:00,29,8,landed,,A1B,4bb1e2,3,fuzzy_callsign_match
2026-07-20,dep,THY1AD,TK437,Turkish Airlines,LTFM,LDDU,2026-07-20T04:25:00+00:00,2026-07-20T04:40:00+00:00,2026-07-20T04:42:26+00:00,2026-07-20T06:15:22+00:00,15,,landed,,E1,4baa6f,2,fuzzy_callsign_match
2026-07-20,dep,THY1UC,TK1303,Turkish Airlines,LTFM,LEMG,2026-07-20T04:15:00+00:00,2026-07-20T04:40:00+00:00,2026-07-20T04:42:30+00:00,2026-07-20T08:50:25+00:00,25,3,landed,,B17,4bb1ed,2,fuzzy_callsign_match
2026-07-20,dep,THY4VH,TK1721,Turkish Airlines,LTFM,EDDB,2026-07-20T04:20:00+00:00,2026-07-20T04:42:00+00:00,2026-07-20T04:43:51+00:00,2026-07-20T06:55:26+00:00,22,,landed,,B15,4ba94b,2,fuzzy_callsign_match
2026-07-20,dep,THY3PB,TK1783,Turkish Airlines,LTFM,EKCH,2026-07-20T04:15:00+00:00,2026-07-20T04:49:00+00:00,2026-07-20T04:51:05+00:00,2026-07-20T07:30:44+00:00,34,1,landed,,A1E,4bb288,2,fuzzy_callsign_match
2026-07-20,dep,THY65Y,TK1027,Turkish Airlines,LTFM,LBSF,2026-07-20T04:30:00+00:00,2026-07-20T04:51:00+00:00,2026-07-20T04:52:13+00:00,2026-07-20T05:37:29+00:00,21,,landed,,A8B,4bb208,1,fuzzy_callsign_match
2026-07-20,dep,THY9SD,TK1061,Turkish Airlines,LTFM,LJLJ,2026-07-20T04:30:00+00:00,2026-07-20T04:55:00+00:00,2026-07-20T04:56:47+00:00,2026-07-20T06:44:59+00:00,25,,landed,,A10A,4baa6d,2,fuzzy_callsign_match
2026-07-20,dep,THY2EG,TK1081,Turkish Airlines,LTFM,LYBE,2026-07-20T04:30:00+00:00,2026-07-20T04:55:00+00:00,2026-07-20T04:56:59+00:00,2026-07-20T06:08:35+00:00,25,,landed,,C1,4baa75,2,fuzzy_callsign_match
2026-07-20,dep,THY3QX,TK1369,Turkish Airlines,LTFM,LMML,2026-07-20T04:20:00+00:00,2026-07-20T05:00:00+00:00,2026-07-20T05:02:04+00:00,2026-07-20T07:03:40+00:00,40,18,landed,,B13,4bb0f3,2,fuzzy_callsign_match
2026-07-20,dep,THY2WM,TK1917,Turkish Airlines,LTFM,LSGG,2026-07-20T04:25:00+00:00,2026-07-20T05:02:00+00:00,2026-07-20T05:04:00+00:00,2026-07-20T07:52:54+00:00,37,18,landed,,A1H,4bb2b0,2,fuzzy_callsign_match
2026-07-20,dep,THY5RN,TK1553,Turkish Airlines,LTFM,EDDV,2026-07-20T04:25:00+00:00,2026-07-20T05:02:00+00:00,2026-07-20T05:04:47+00:00,2026-07-20T07:41:05+00:00,37,7,landed,,F4A,4bb072,3,fuzzy_callsign_match
2026-07-20,dep,THY7RS,TK1937,Turkish Airlines,LTFM,EBBR,2026-07-20T04:25:00+00:00,2026-07-20T05:31:00+00:00,2026-07-20T05:33:21+00:00,2026-07-20T08:23:59+00:00,66,29,landed,,B16,4ba9ce,2,fuzzy_callsign_match
2026-07-20,dep,THY6TG,TK2510,Turkish Airlines,LTFM,LTFE,2026-07-20T09:20:00+00:00,2026-07-20T09:44:00+00:00,2026-07-20T06:23:01+00:00,2026-07-20T07:19:22+00:00,24,,active,,G8A,4ba959,-201,actuals_disagree|fuzzy_callsign_match
2026-07-20,dep,THY5CJ,TK2418,Turkish Airlines,LTFM,LTAI,2026-07-20T09:40:00+00:00,2026-07-20T09:55:00+00:00,2026-07-20T06:55:42+00:00,2026-07-20T07:43:52+00:00,15,,landed,,G5B,4baa4e,-179,actuals_disagree|fuzzy_callsign_match
2026-07-20,dep,THY6QL,TK1793,Turkish Airlines,LTFM,ESSA,2026-07-20T04:25:00+00:00,2026-07-20T04:51:00+00:00,2026-07-20T07:09:33+00:00,2026-07-20T10:09:07+00:00,26,,landed,,A1C,4bb284,139,actuals_disagree|fuzzy_callsign_match
2026-07-20,dep,THY2XR,TK1725,Turkish Airlines,LTFM,EDDB,2026-07-20T09:20:00+00:00,2026-07-20T09:35:00+00:00,2026-07-20T07:22:51+00:00,2026-07-20T09:45:43+00:00,15,,landed,,D2,4bb20e,-132,actuals_disagree|fuzzy_callsign_match
2026-07-20,dep,THY8XZ,TK1985,Turkish Airlines,LTFM,EGLL,2026-07-20T10:15:00+00:00,2026-07-20T10:38:00+00:00,2026-07-20T07:39:01+00:00,2026-07-20T11:23:21+00:00,23,,landed,,D13,4bb286,-179,actuals_disagree|fuzzy_callsign_match
2026-07-20,dep,THY95M,TK2512,Turkish Airlines,LTFM,LTFE,2026-07-20T10:45:00+00:00,2026-07-20T10:54:00+00:00,2026-07-20T07:55:00+00:00,2026-07-20T08:52:25+00:00,9,,landed,,G7B,4baa54,-179,actuals_disagree|fuzzy_callsign_match
2026-07-20,dep,THY1BS,TK2828,Turkish Airlines,LTFM,LTCG,2026-07-20T10:45:00+00:00,2026-07-20T10:58:00+00:00,2026-07-20T08:29:47+00:00,2026-07-20T09:48:29+00:00,13,,landed,,G6B,4bab26,-148,actuals_disagree|fuzzy_callsign_match
2026-07-20,dep,THY2HG,TK1895,Turkish Airlines,LTFM,LIMC,2026-07-20T09:20:00+00:00,2026-07-20T09:37:00+00:00,2026-07-20T09:38:46+00:00,2026-07-20T12:12:41+00:00,17,,landed,,E4,4bb285,2,fuzzy_callsign_match
2026-07-20,dep,THY40B,TK1865,Turkish Airlines,LTFM,LIRF,2026-07-20T09:20:00+00:00,2026-07-20T09:37:00+00:00,2026-07-20T09:39:42+00:00,2026-07-20T11:43:43+00:00,17,,landed,,D9,4ba9cf,3,fuzzy_callsign_match
2026-07-20,dep,THY1GP,TK1323,Turkish Airlines,LTFM,LIPE,2026-07-20T09:20:00+00:00,2026-07-20T09:39:00+00:00,2026-07-20T09:40:39+00:00,2026-07-20T11:58:54+00:00,19,,landed,,F3A,4bb28b,2,fuzzy_callsign_match
2026-07-20,dep,THY1LB,TK1913,Turkish Airlines,LTFM,LSZH,2026-07-20T09:20:00+00:00,2026-07-20T09:40:00+00:00,2026-07-20T09:42:33+00:00,2026-07-20T12:25:47+00:00,20,,landed,,A7B,4baad2,3,fuzzy_callsign_match
2026-07-20,dep,THY5TD,TK968,Turkish Airlines,LTFM,LCEN,2026-07-20T10:15:00+00:00,2026-07-20T10:34:00+00:00,2026-07-20T10:35:45+00:00,2026-07-20T11:46:53+00:00,19,,active,,D5,4baa8b,2,fuzzy_callsign_match
2026-07-20,dep,THY2QJ,TK1849,Turkish Airlines,LTFM,LGAV,2026-07-20T10:20:00+00:00,2026-07-20T10:42:00+00:00,2026-07-20T10:44:32+00:00,2026-07-20T11:44:50+00:00,22,,landed,,F5B,4bb26e,3,fuzzy_callsign_match
2026-07-20,dep,THY4QS,TK1039,Turkish Airlines,LTFM,LROP,2026-07-20T10:20:00+00:00,2026-07-20T10:45:00+00:00,2026-07-20T10:47:30+00:00,2026-07-20T11:34:43+00:00,25,1,landed,,D16,4bb1e1,2,fuzzy_callsign_match
2026-07-20,dep,THY1PY,TK1977,Turkish Airlines,LTFM,EIDW,2026-07-20T10:25:00+00:00,2026-07-20T10:57:00+00:00,2026-07-20T10:58:42+00:00,2026-07-20T14:59:40+00:00,32,2,landed,,B5B,4bb20b,2,fuzzy_callsign_match
2026-07-20,dep,THY6YS,TK2264,Turkish Airlines,LTFM,LTFD,2026-07-20T10:50:00+00:00,2026-07-20T11:10:00+00:00,2026-07-20T11:12:22+00:00,2026-07-20T11:39:53+00:00,20,,active,,G7A,4bb210,2,fuzzy_callsign_match
2026-07-20,dep,THY6ZM,TK1961,Turkish Airlines,LTFM,EHAM,2026-07-20T10:45:00+00:00,2026-07-20T11:12:00+00:00,2026-07-20T11:14:46+00:00,2026-07-20T14:24:49+00:00,27,2,landed,,F12A,4baa8d,3,fuzzy_callsign_match
2026-07-20,dep,THY5RE,TK2324,Turkish Airlines,LTFM,LTBJ,2026-07-20T10:00:00+00:00,2026-07-20T10:13:00+00:00,2026-07-20T11:19:46+00:00,2026-07-20T11:58:44+00:00,13,,landed,,G4A,4baa8f,67,fuzzy_callsign_match
2026-07-20,dep,WUK759,W95328,Wizz Air UK,LTFM,EGGW,2026-07-20T10:50:00+00:00,,2026-07-20T11:25:38+00:00,2026-07-20T15:07:10+00:00,36,,scheduled,,,407d00,,fuzzy_callsign_match
2026-07-20,dep,THY50J,TK1825,Turkish Airlines,LTFM,LFPG,2026-07-20T09:25:00+00:00,2026-07-20T09:46:00+00:00,2026-07-20T11:43:31+00:00,2026-07-20T15:13:27+00:00,21,,landed,,E3,4bb264,118,fuzzy_callsign_match
