date,direction,callsign_icao,flight_iata,airline,origin_icao,destination_icao,scheduled_utc,actual_utc,opensky_firstseen_utc,opensky_lastseen_utc,delay_minutes,status,terminal,gate,icao24,data_quality_delta_min,quality_flags
2026-07-19,dep,THY2EG,TK1081,Turkish Airlines,LTFM,LYBE,2026-07-19T07:30:00+00:00,2026-07-19T07:46:00+00:00,2026-07-19T04:48:21+00:00,2026-07-19T05:57:58+00:00,16,landed,,A7B,4bb207,-178,actuals_disagree|fuzzy_callsign_match
2026-07-19,dep,THY65Y,TK1027,Turkish Airlines,LTFM,LBSF,2026-07-19T07:30:00+00:00,2026-07-19T07:47:00+00:00,2026-07-19T04:49:00+00:00,2026-07-19T05:34:13+00:00,17,landed,,F1B,4baa67,-178,actuals_disagree|fuzzy_callsign_match
2026-07-19,dep,THY1AD,TK437,Turkish Airlines,LTFM,LDDU,2026-07-19T07:25:00+00:00,2026-07-19T07:48:00+00:00,2026-07-19T04:49:04+00:00,2026-07-19T06:16:57+00:00,23,active,,A3A,4baa79,-179,actuals_disagree|fuzzy_callsign_match
2026-07-19,dep,THY9SD,TK1061,Turkish Airlines,LTFM,LJLJ,2026-07-19T07:30:00+00:00,2026-07-19T07:49:00+00:00,2026-07-19T04:51:07+00:00,2026-07-19T06:38:22+00:00,19,landed,,B12A,4bb26f,-178,actuals_disagree|fuzzy_callsign_match
2026-07-19,dep,THY4CK,TK1793,Turkish Airlines,LTFM,ESSA,2026-07-19T07:25:00+00:00,2026-07-19T07:54:00+00:00,2026-07-19T04:55:35+00:00,2026-07-19T07:51:34+00:00,29,landed,,F5A,4bb20a,-178,actuals_disagree|fuzzy_callsign_match
2026-07-19,dep,THY4XL,TK1629,Turkish Airlines,LTFM,EDDM,2026-07-19T07:25:00+00:00,2026-07-19T08:04:00+00:00,2026-07-19T05:05:09+00:00,2026-07-19T07:20:19+00:00,39,landed,,A4E,4bb1e2,-179,actuals_disagree|fuzzy_callsign_match
2026-07-19,dep,THY3LK,TK1993,Turkish Airlines,LTFM,EGCC,2026-07-19T07:00:00+00:00,2026-07-19T07:50:00+00:00,2026-07-19T07:15:00+00:00,2026-07-19T10:55:48+00:00,50,landed,,A1K,4bb281,-35,fuzzy_callsign_match
2026-07-19,dep,THY3UH,TK1857,Turkish Airlines,LTFM,LEMD,2026-07-19T07:05:00+00:00,2026-07-19T07:37:00+00:00,2026-07-19T07:23:03+00:00,2026-07-19T11:30:13+00:00,32,landed,,F15,4bb20e,-14,fuzzy_callsign_match
2026-07-19,dep,AXY687E,,AirX,LTFM,EBLG,2026-07-19T18:10:00+00:00,2026-07-19T19:23:00+00:00,2026-07-19T16:24:42+00:00,2026-07-19T19:26:50+00:00,73,scheduled,,,4d2093,-178,actuals_disagree|fuzzy_callsign_match
2026-07-19,dep,THY7JR,TK1955,Turkish Airlines,LTFM,EHAM,2026-07-19T19:20:00+00:00,2026-07-19T19:38:00+00:00,2026-07-19T16:40:11+00:00,2026-07-19T19:36:28+00:00,18,landed,,D16,4ba9da,-178,actuals_disagree|fuzzy_callsign_match
2026-07-19,dep,THY6CN,TK1529,Turkish Airlines,LTFM,EDDL,2026-07-19T19:10:00+00:00,2026-07-19T19:38:00+00:00,2026-07-19T16:40:24+00:00,2026-07-19T19:38:08+00:00,28,landed,,D5,4baa88,-178,actuals_disagree|fuzzy_callsign_match
2026-07-19,dep,THY4AY,TK1727,Turkish Airlines,LTFM,EDDB,2026-07-19T19:25:00+00:00,2026-07-19T19:45:00+00:00,2026-07-19T16:47:04+00:00,2026-07-19T19:09:56+00:00,20,landed,,B6B,4bb284,-178,actuals_disagree|fuzzy_callsign_match
2026-07-19,dep,THY6AE,TK2442,Turkish Airlines,LTFM,LTAI,2026-07-19T19:20:00+00:00,2026-07-19T19:53:00+00:00,2026-07-19T16:54:35+00:00,2026-07-19T17:46:28+00:00,33,landed,,G8B,4bb325,-178,actuals_disagree|fuzzy_callsign_match
2026-07-19,dep,UAE6RM,EK122,Emirates,LTFM,OMDB,2026-07-19T19:35:00+00:00,2026-07-19T19:58:00+00:00,2026-07-19T17:00:14+00:00,2026-07-19T21:16:21+00:00,23,landed,,A2,896111,-178,actuals_disagree|fuzzy_callsign_match
2026-07-19,dep,THY8DT,TK972,Turkish Airlines,LTFM,LCEN,2026-07-19T19:40:00+00:00,2026-07-19T20:00:00+00:00,2026-07-19T17:01:35+00:00,2026-07-19T18:13:09+00:00,20,landed,,A10A,4baa8c,-178,actuals_disagree|fuzzy_callsign_match
2026-07-19,dep,THY4CW,TK1637,Turkish Airlines,LTFM,EDDM,2026-07-19T19:45:00+00:00,2026-07-19T20:04:00+00:00,2026-07-19T17:05:33+00:00,2026-07-19T19:23:22+00:00,19,landed,,F12A,4baa8a,-178,actuals_disagree|fuzzy_callsign_match
2026-07-19,dep,QTR83K,QR246,Qatar Airways,LTFM,OTHH,2026-07-19T20:05:00+00:00,2026-07-19T20:15:00+00:00,2026-07-19T17:17:12+00:00,2026-07-19T21:11:17+00:00,10,landed,,B1,06a0bf,-178,actuals_disagree|fuzzy_callsign_match
2026-07-19,dep,THY8WY,TK2836,Turkish Airlines,LTFM,LTCG,2026-07-19T19:55:00+00:00,2026-07-19T20:11:00+00:00,2026-07-19T20:33:10+00:00,2026-07-19T21:47:59+00:00,16,landed,,G8A,4ba999,22,fuzzy_callsign_match
2026-07-19,dep,PGT912M,PC3301,Pegasus,LTFM,LTBJ,2026-07-19T20:00:00+00:00,2026-07-19T20:26:00+00:00,2026-07-19T20:54:32+00:00,2026-07-19T21:29:20+00:00,26,landed,,G4A,4bb86c,29,fuzzy_callsign_match
